orif_cost,tha_cost,inmb
31400.0,26600.0,44569924.94233305
32700.0,26600.0,45869924.94233305
34000.0,26600.0,47169924.94233305
35300.0,26600.0,48469924.94233305
36600.0,26600.0,49769924.94233305
37900.0,26600.0,51069924.94233305
39200.0,26600.0,52369924.94233305
40500.0,26600.0,53669924.94233305
41800.0,26600.0,54969924.94233305
43100.0,26600.0,56269924.94233305
44400.0,26600.0,57569924.94233305
45700.0,26600.0,58869924.94233311
47000.0,26600.0,60169924.94233308
48300.0,26600.0,61469924.942333125
49600.0,26600.0,62769924.94233311
50900.0,26600.0,64069924.942333065
52200.0,26600.0,65369924.942333095
53500.0,26600.0,66669924.94233305
54800.0,26600.0,67969924.94233307
56100.0,26600.0,69269924.94233307
57400.0,26600.0,70569924.94233307
58700.0,26600.0,71869924.94233304
60000.0,26600.0,73169924.94233304
8000.0,28150.0,19619924.94233313
9300.0,28150.0,20919924.94233313
10600.0,28150.0,22219924.94233313
11900.0,28150.0,23519924.942333125
13200.0,28150.0,24819924.942333177
14500.0,28150.0,26119924.942333147
15800.0,28150.0,27419924.942333095
17100.0,28150.0,28719924.942333072
18400.0,28150.0,30019924.942333065
19700.0,28150.0,31319924.94233308
21000.0,28150.0,32619924.94233308
22300.0,28150.0,33919924.94233308
23600.0,28150.0,35219924.94233308
24900.0,28150.0,36519924.94233307
26200.0,28150.0,37819924.94233307
27500.0,28150.0,39119924.94233307
28800.0,28150.0,40419924.94233307
30100.0,28150.0,41719924.94233307
31400.0,28150.0,43019924.94233308
32700.0,28150.0,44319924.94233308
34000.0,28150.0,45619924.94233308
35300.0,28150.0,46919924.94233308
36600.0,28150.0,48219924.94233308
37900.0,28150.0,49519924.94233308
39200.0,28150.0,50819924.94233308
40500.0,28150.0,52119924.94233308
41800.0,28150.0,53419924.94233308
43100.0,28150.0,54719924.94233308
44400.0,28150.0,56019924.94233308
45700.0,28150.0,57319924.94233314
47000.0,28150.0,58619924.94233311
48300.0,28150.0,59919924.942333154
49600.0,28150.0,61219924.94233314
50900.0,28150.0,62519924.942333095
52200.0,28150.0,63819924.942333125
53500.0,28150.0,65119924.94233308
54800.0,28150.0,66419924.94233311
56100.0,28150.0,67719924.9423331
57400.0,28150.0,69019924.9423331
58700.0,28150.0,70319924.94233307
60000.0,28150.0,71619924.94233307
8000.0,29700.0,18069924.942333143
9300.0,29700.0,19369924.942333143
10600.0,29700.0,20669924.942333143
11900.0,29700.0,21969924.94233314
13200.0,29700.0,23269924.94233319
14500.0,29700.0,24569924.94233316
15800.0,29700.0,25869924.94233311
17100.0,29700.0,27169924.942333087
18400.0,29700.0,28469924.94233308
19700.0,29700.0,29769924.942333095
21000.0,29700.0,31069924.942333095
22300.0,29700.0,32369924.942333095
23600.0,29700.0,33669924.942333095
24900.0,29700.0,34969924.94233309
26200.0,29700.0,36269924.94233309
27500.0,29700.0,37569924.94233309
28800.0,29700.0,38869924.94233309
30100.0,29700.0,40169924.94233309
31400.0,29700.0,41469924.942333095
32700.0,29700.0,42769924.942333095
34000.0,29700.0,44069924.942333095
35300.0,29700.0,45369924.942333095
36600.0,29700.0,46669924.942333095
37900.0,29700.0,47969924.942333095
39200.0,29700.0,49269924.942333095
40500.0,29700.0,50569924.942333095
41800.0,29700.0,51869924.942333095
43100.0,29700.0,53169924.942333095
44400.0,29700.0,54469924.942333095
45700.0,29700.0,55769924.942333154
47000.0,29700.0,57069924.942333125
48300.0,29700.0,58369924.94233317
49600.0,29700.0,59669924.942333154
50900.0,29700.0,60969924.94233311
52200.0,29700.0,62269924.94233314
53500.0,29700.0,63569924.942333095
54800.0,29700.0,64869924.942333125
56100.0,29700.0,66169924.94233311
57400.0,29700.0,67469924.9423331
58700.0,29700.0,68769924.9423331
60000.0,29700.0,70069924.9423331
8000.0,31250.0,16519924.942333158
